Data Source,Platform/Station,URN,Lat,Lon,Observations,Status
Everglades National Park (ENP),,,,,,
,"BDVF1: Broad River, FL",urn:ioos.station.NOAA.NDBC:BDVF1,25.478,-80.989,salinity,Active
,,,,,waterTemperature,Active
,"BNKF1: Butternut Key, FL",urn:ioos.station.NOAA.NDBC:BNKF1,25.087,-80.519,salinity,Active
,,,,,waterTemperature,Active
,"BOBF1: Bob Allen, FL",urn:ioos.station.NOAA.NDBC:BOBF1,25.027,-80.681,salinity,Active
,,,,,waterTemperature,Active
,"BWSF1: Blackwater Sound, FL",urn:ioos.station.NOAA.NDBC:BWSF1,25.178,-80.438,salinity,Active
,,,,,waterTemperature,Active
,"CANF1: Cane Patch, FL",urn:ioos.station.NOAA.NDBC:CANF1,25.422,-80.942,salinity,Active
,,,,,waterTemperature,Active
,"CNBF1: Cannon Bay, FL",urn:ioos.station.NOAA.NDBC:CNBF1,25.702,-81.186,salinity,Inactive
,,,,,waterTemperature,Active
,"CWAF1: Clear Water Pass, FL",urn:ioos.station.NOAA.NDBC:CWAF1,25.297,-81.013,salinity,Active
,,,,,waterTemperature,Active
,"DKKF1: Duck Key, FL",urn:ioos.station.NOAA.NDBC:DKKF1,25.18,-80.49,salinity,Active
,,,,,waterTemperature,Active
,"GBIF1: Gunboat Island, FL",urn:ioos.station.NOAA.NDBC:GBIF1,25.378,-81.029,salinity,Active
,,,,,waterTemperature,Active
,"GBTF1: Garfield Bight, FL",urn:ioos.station.NOAA.NDBC:GBTF1,25.167,-80.801,salinity,Active
,,,,,waterTemperature,Active
,"GKYF1: Garden Key, FL",urn:ioos.station.NOAA.NDBC:GKYF1,24.6272,-82.8722,waterLevel,Inactive
,"HCEF1: Highway Creek, FL",urn:ioos.station.NOAA.NDBC:HCEF1,25.254,-80.444,salinity,Active
,,,,,waterTemperature,Active
,"JKYF1: Johnson Key, FL",urn:ioos.station.NOAA.NDBC:JKYF1,25.053,-80.904,salinity,Active
,,,,,waterTemperature,Active
,"LBRF1: Broad River Lower, FL",urn:ioos.station.NOAA.NDBC:LBRF1,25.484,-81.133,salinity,Inactive
,,,,,waterTemperature,Inactive
,"LBSF1: Little Blackwater, FL",urn:ioos.station.NOAA.NDBC:LBSF1,25.214,-80.432,salinity,Active
,,,,,waterTemperature,Active
,"LMDF1: Little Madeira, FL",urn:ioos.station.NOAA.NDBC:LMDF1,25.176,-80.633,salinity,Active
,,,,,waterTemperature,Active
,"LMRF1: Lostmans River, FL",urn:ioos.station.NOAA.NDBC:LMRF1,25.556,-81.169,salinity,Active
,,,,,waterTemperature,Active
,"LRIF1: Lane River, FL",urn:ioos.station.NOAA.NDBC:LRIF1,25.284,-80.894,salinity,Active
,,,,,waterTemperature,Active
,"LRKF1: Little Rabbit Key, FL",urn:ioos.station.NOAA.NDBC:LRKF1,24.982,-80.826,salinity,Active
,,,,,waterTemperature,Active
,"LSNF1: Long Sound, FL",urn:ioos.station.NOAA.NDBC:LSNF1,25.235,-80.457,salinity,Active
,,,,,waterTemperature,Active
,"MUKF1: Murray Key, FL",urn:ioos.station.NOAA.NDBC:MUKF1,25.106,-80.942,salinity,Active
,,,,,waterTemperature,Active
