Data Source,Platform/Station,URN,Lat,Lon,Observations,Status
ATP Oil and Gas Corporation (ATP),,,,,,
,42381 - Innovator - Mississippi Canyon 711,urn:ioos:station:wmo:42381,28.221,-89.615,currents,Inactive
,42391 - Titan - Mississippi Canyon 941,urn:ioos:station:wmo:42391,28.034,-89.101,currents,Inactive
,42869 - Ocean Confidence - Mississippi Canyon 305 #2,urn:ioos:station:wmo:42869,28.695,-87.931,currents,Inactive
Amerada Hess Corporation (Amerada Hess),,,,,,
,42878 - Noble Paul Romano - Mississippi Canyon 725,urn:ioos:station:wmo:42878,28.246,-88.928,currents,Inactive
,42879 - Ocean BlackRhino - GC512,urn:ioos:station:wmo:42879,27.476,-90.559,currents,Inactive
,42892 - Ocean Baroness - Garden Banks 386,urn:ioos:station:wmo:42892,27.599,-92.298,currents,Active
,42917 - Discoverer Inspiration - Garden Banks 200,urn:ioos:station:wmo:42917,27.7805,-92.741,currents,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
,42919 - Stenna Forth - Green Canyon 469,urn:ioos:station:wmo:42919,28.26,-88.885,currents,Inactive
,42935 - Tubular Bells Spar - Green Canyon 724,urn:ioos:station:wmo:42935,28.235,-88.995,currents,Inactive
Anadarko Petroleum Corporation (Anadarko),,,,,,
,42370 - Holstein - Green Canyon 645,urn:ioos:station:wmo:42370,27.322,-90.536,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,currents,Inactive
,,,,,winds,Inactive
,42373 - Boomvang - East Breaks 643,urn:ioos:station:wmo:42373,27.354,-94.625,currents,Inactive
,42374 - Horn Mountain - Mississippi Canyon 126 and 127,urn:ioos:station:wmo:42374,28.866,-88.056,currents,Inactive
,,,,,winds,Inactive
,42377 - Constitution - Green Canyon 680,urn:ioos:station:wmo:42377,27.293,-90.968,currents,Inactive
,42379 - Marco Polo - Green Canyon 608,urn:ioos:station:wmo:42379,27.362,-90.181,currents,Inactive
,42382 - Gunnison - Garden Banks 668,urn:ioos:station:wmo:42382,27.304,-93.538,currents,Inactive
,42398 - Lucius SPAR - Keathley Canyon 875,urn:ioos:station:wmo:42398,26.132,-92.04,currents,Inactive
,42399 - Heidelberg - Green Canyon 860,urn:ioos:station:wmo:42399,26.132,-92.04,currents,Inactive
,42904 - Independence Hub - Mississippi Canyon 920,urn:ioos:station:wmo:42904,28.085,-87.986,currents,Inactive
Apache Deepwater LLC (Apache),,,,,,
,42938 - Ocean Onyx - Mississippi Canyon 674,urn:ioos:station:wmo:42938,28.257,-89.274,currents,Inactive
BHP Billiton (BHP),,,,,,
,42393 - Shenzi TLP - Green Canyon 653,urn:ioos:station:wmo:42393,27.301,-90.135,currents,Inactive
,42871 - C R Luigs - Green Canyon 653,urn:ioos:station:wmo:42871,27.331,-89.878,currents,Inactive
,42897 - Development Driller 1 - DeSoto Canyon 726,urn:ioos:station:wmo:42897,27.355,-89.797,currents,Inactive
,42932 - Deepwater Invictus - Green Canyon 609,urn:ioos:station:wmo:42932,27.37,-90.145,currents,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
BP Inc (BP),,,,,,
,42369 - Mad Dog Spar - Green Canyon 782,urn:ioos:station:wmo:42369,27.207,-90.283,airTemperature,Inactive
,,,,,currents,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
,,,,,winds,Inactive
,42375 - Na Kika - Mississippi Canyon 474,urn:ioos:station:wmo:42375,28.521,-88.289,currents,Inactive
,,,,,salinity,Inactive
,,,,,waterTemperature,Inactive
,42376 - Marlin TLP - Viosca Knoll 915,urn:ioos:station:wmo:42376,29.108,-87.944,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,currents,Inactive
,,,,,winds,Inactive
,42853 - West Capricorn - Mississippi Canyon 562,urn:ioos:station:wmo:42853,28.444,-88.277,currents,Inactive
,42865 - Ocean Black Hornet - GC 821,urn:ioos:station:wmo:42865,27.1705,-90.503,currents,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
,42868 - Discoverer Enterprise - Mississippi Canyon 777,urn:ioos:station:wmo:42868,28.214,-88.519,currents,Inactive
,42872 - Deepwater Horizon,urn:ioos:station:wmo:42872,28.738,-88.366,currents,Inactive
,42880 - West Auriga - Green Canyon 824,urn:ioos:station:wmo:42880,27.2189,-90.0469,currents,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
,42885 - GSF Development Driller II - Mississippi Canyon 727 #2,urn:ioos:station:wmo:42885,28.249,-88.828,currents,Inactive
,42887 - Thunder Horse PDQ - Mississippi Canyon 821,urn:ioos:station:wmo:42887,28.1477,-88.5478,airTemperature,Inactive
,,,,,currents,Inactive
,,,,,dewTemperature,Inactive
,,,,,winds,Inactive
,42893 - ENSCO DS-3 - Green Canyon 825,urn:ioos:station:wmo:42893,27.146,-90.319,currents,Inactive
,42907 - Ocean Black Lion - Green Canyon 512,urn:ioos:station:wmo:42907,27.1537,-90.3098,currents,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
,42908 - West Sirius - Keathley Canyon 57,urn:ioos:station:wmo:42908,26.909,-93.305,currents,Inactive
,42916 - Development Driller 3 - Green Canyon 743,urn:ioos:station:wmo:42916,28.445,-88.277,currents,Inactive
,42920 - ENSCO DS-4 - Keathley Canyon 93,urn:ioos:station:wmo:42920,26.865,-93.661,currents,Inactive
